ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,PAGE_ICON
ConBAP,https://github.com/DingLuoXMU/ConBAP,https://doi.org/10.5281/zenodo.10532672).,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Protein-Ligand Binding Affinity Prediction with Multimodal Contrastive Learning,6.0,07/2024,1 months ago,,0.0,material/speedometer
DAAP,https://gitlab.com/mahnewton/daap,https://doi.org/10.1186/s13321-024-00844-x,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,,,,,,1.0,material/speedometer
DeepAffinity,https://github.com/Shen-Lab/DeepAffinity,https://doi.org/10.1093/bioinformatics/btz111,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Protein-compound affinity prediction through unified RNN-CNN.,136.0,07/2024,1 months ago,,315.0,material/speedometer
DeepBindGCN,https://github.com/haiping1010/DeepBindGCN,https://doi.org/10.3390/molecules28124691,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Predicts protein ligand binding affinity non-dependent on docking conformation.,2.0,04/2023,17 months ago,,4.0,material/speedometer
DeepBindRG,https://github.com/haiping1010/DeepBindRG,https://doi.org/10.7717%2Fpeerj.7362,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A deep learning based method for estimating effective protein-ligand affinity.,15.0,08/2019,61 months ago,,67.0,material/speedometer
DeepGLSTM,https://github.com/MLlab4CS/DeepGLSTM,https://doi.org/10.1137/1.9781611977172.82,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A model predicting binding affinity values between FDA-approved drugs and viral proteins of SARS-CoV-2.,15.0,11/2022,22 months ago,,20.0,material/speedometer
ECIF,https://github.com/DIFACQUIM/ECIF,https://doi.org/10.1093/bioinformatics/btaa982,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Extended Connectivity Interaction Features for molecular analysis.,29.0,09/2021,36 months ago,,61.0,material/speedometer
EGGNet,https://github.com/aws-samples/eggnet-equivariant-graph-of-graph-neural-network,https://doi.org/10.1101/2023.03.22.533800v1,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,"Source code for EGGNet, a framework for protein complex pose scoring.",10.0,04/2023,16 months ago,,0.0,material/speedometer
ENS-Score,https://github.com/miladrayka/ENS_Score,https://doi.org/10.1002/minf.202300292,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,,2.0,02/2024,6 months ago,,1.0,material/speedometer
ENS-Score GUI,https://github.com/miladrayka/ENS_SCORE_GUI,,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,,0.0,02/2024,6 months ago,,,material/speedometer
EquiScore,https://github.com/CAODH/EquiScore,https://doi.org/10.1101/2023.06.18.545464v2,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A scoring function for virtual screening and eval with interpretable output.,53.0,01/2024,8 months ago,,0.0,material/speedometer
ET-Score,https://github.com/miladrayka/ET_Score,https://doi.org/10.1002/minf.202060084,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A scoring function based on Extra Trees algorithm for predicting ligand-protein binding affinity.,8.0,07/2023,14 months ago,,10.0,material/speedometer
FABind,https://github.com/QizhiPei/FABind,https://arxiv.org/abs/2310.06763,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A fast and accurate protein-ligand binding model for NeurIPS 2023.,105.0,07/2024,1 months ago,,,material/speedometer
FAST,https://github.com/llnl/fast,https://doi.org/10.1021/acs.jcim.0c01306,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Fusion models for Atomic and molecular STructures aiming at predicting accurate protein-ligand binding affinity.,89.0,07/2023,14 months ago,,159.0,material/speedometer
FGNN,https://github.com/LinaDongXMU/FGNN,https://doi.org/10.1039/D3CP03651K,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Predicts ligand binding affinity with graph neural networks and 3D structure-based complex graph.,3.0,09/2023,12 months ago,,2.0,material/speedometer
FusionDTA,https://github.com/yuanweining/FusionDTA,https://doi.org/10.1093/bib/bbab506,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A framework focusing on protein-ligand binding affinity prediction with deep learning techniques.,17.0,02/2024,6 months ago,,55.0,material/speedometer
GBScore,https://github.com/miladrayka/GB_Score,https://doi.org/10.1002/minf.202200135,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A scoring function based on Gradient Boosting Trees algorithm for predicting ligand-protein binding affinity.,6.0,07/2023,14 months ago,,3.0,material/speedometer
GenScore,https://github.com/sc8668/GenScore,https://doi.org/10.1039%2Fd3sc02044d,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A scoring framework for predicting protein-ligand binding affinity.,27.0,01/2023,19 months ago,,14.0,material/speedometer
GGL-ETA-Score,https://github.com/MathIntelligence/GGL-ETA-Score,,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,This code computes features for both the SYBYL-GGL and ECIF-GGL models.,4.0,01/2023,19 months ago,,,material/speedometer
GIGN,https://github.com/guaguabujianle/GIGN,,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Contains GNN-based models for protein-ligand binding affinity prediction.,35.0,08/2023,13 months ago,,,material/speedometer
GraphBAR,https://github.com/jtson82/graphbar,,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,deep-learning-based prediction model based on a graph convolutional neural network.,8.0,01/2022,32 months ago,,,material/speedometer
graphLambda,https://github.com/i-Molecule/graphLambda,https://doi.org/10.5281/zenodo.10620447).,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,"A deep learning model to score protein-ligand binding affinity using PyTorch and PyTorch Geometric, focusing on the application of graphLambda model for training and result replication.",6.0,02/2024,7 months ago,,0.0,material/speedometer
GraphscoreDTA,https://github.com/CSUBioGroup/GraphscoreDTA,https://doi.org/10.1093/bioinformatics/btad340,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A graph neural network for protein-ligand binding affinity prediction.,25.0,05/2024,3 months ago,,23.0,material/speedometer
HAC-Net,https://github.com/gregory-kyro/HAC-Net/,https://doi.org/10.1021/acs.jcim.3c00251,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A Hybrid Attention-Based Convolutional Neural Network for Highly Accurate Protein-Ligand Binding Affinity Prediction.,49.0,05/2024,3 months ago,,23.0,material/speedometer
HaPPy,https://github.com/Jthy-af/HaPPy,https://doi.org/10.1007/s12539-023-00582-y,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Utilizes multi-perspective graphs for protein-ligand binding affinity prediction.,4.0,06/2023,15 months ago,,1.0,material/speedometer
HGScore,https://github.com/KevinCrp/HGScore,https://doi.org/10.37349/eds.2023.00010,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A Heterogeneous Graph Convolutional Neural Network to score a protein-ligand complex.,4.0,11/2023,9 months ago,,1.0,material/speedometer
KDeep,,https://doi.org/10.1021/acs.jcim.7b00650,https://playmolecule.org/Kdeep/,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,protein-ligand affinity predictor based on DCNNs (Deep Convolutional Neural Networks).,,,,,611.0,material/speedometer
KIDA,https://github.com/RuiqiangLu/KIDA,https://doi.org/10.1093/bib/bbad145,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Process for extracting protein pockets and generating training data for KIDA.,1.0,04/2023,17 months ago,,5.0,material/speedometer
Lee2023a,https://github.com/Lee1701/Lee2023a,https://arxiv.org/abs/2310.03946,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Meta-modeling of ligand-protein binding affinity.,0.0,05/2024,3 months ago,,,material/speedometer
MBI-Score,,,,https://khashanlab.org/mbi-score/,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Utilizes graph representation for protein-ligand interfacial atoms in native complexes for scoring.,,,,,,material/speedometer
MGraphDTA,https://github.com/guaguabujianle/MGraphDTA,https://doi.org/10.1039/D1SC05180F,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Implements a high-efficiency concordance index for performance evaluation of drug-target affinity prediction.,42.0,08/2024,0 months ago,,126.0,material/speedometer
ML-PLIC,,https://doi.org/10.1093/bib/bbad295,http://cadd.zju.edu.cn/plic/,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,,,,,,1.0,material/speedometer
MSECIFv2,https://github.com/koji11235/MSECIFv2,https://doi.org/10.1093/bioadv/vbad155,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Improved version of extended connectivity interaction features (ECIF) by enabling to take the atomic distance into account.,1.0,10/2023,10 months ago,,0.0,material/speedometer
OctSurf,https://github.uconn.edu/mldrugdiscovery/OctSurf,https://doi.org/10.1016/j.jmgm.2021.107865,,https://github.uconn.edu/mldrugdiscovery/OctSurf,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Efficient hierarchical voxel-based molecular surface representation for protein-ligand affinity prediction (scoring) (standalone).,,,,,22.0,material/speedometer
OnionNet,https://github.com/zhenglz/onionnet/,https://doi.org/10.1021/acsomega.9b01997,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A multiple-layer inter-molecular contact based deep neural network for protein-ligand binding affinity prediction.,76.0,11/2020,46 months ago,,207.0,material/speedometer
OnionNet-2,https://github.com/zchwang/OnionNet-2/,https://doi.org/10.3389/fchem.2021.753002/full,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,OnionNet-2 is constructed based on convolutional neural network (CNN) to predict the protein-ligand binding affinity.,16.0,03/2024,6 months ago,,0.0,material/speedometer
OnionNet-SFCT,https://github.com/zhenglz/OnionNet-SFCT,https://doi.org/10.1093/bib/bbac051,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Incorporates a scoring function correction term for improved docking and screening accuracies.,26.0,05/2024,4 months ago,,53.0,material/speedometer
PAMNet,https://github.com/XieResearchGroup/Physics-aware-Multiplex-GNN,https://doi.org/10.25740/bn398fc4306,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,"Official implementation of PAMNet in the paper ""A universal framework for accurate and efficient geometric deep learning of molecular systems"" accepted by Nature Scientific Reports. PAMNet improves upon MXMNet and achieves high performance in tasks like small molecule property prediction, RNA 3D structure prediction, and protein-ligand binding affinity prediction with both accuracy and efficiency.",53.0,05/2024,4 months ago,,0.0,material/speedometer
PIGNet,https://github.com/ACE-KAIST/PIGNet,https://doi.org/10.1039/D1SC06946B,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,physics-informed deep learning model toward generalized drug–target interaction predictions,46.0,02/2022,31 months ago,,80.0,material/speedometer
PIGNet2,https://github.com/ACE-KAIST/PIGNet2,https://doi.org/10.1039/D3DD00149K,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A versatile deep learning-based model for protein-ligand interaction prediction.,10.0,03/2024,6 months ago,,3.0,material/speedometer
PLANET,https://github.com/ComputArtCMCG/PLANET,https://doi.org/10.1021/acs.jcim.3c00253,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A graph neural network model for predicting protein-ligand binding affinity and virtual screening.,45.0,12/2023,8 months ago,,16.0,material/speedometer
PLAPT,https://github.com/trrt-good/WELP-PLAPT/tree/main,https://doi.org/10.1101/2024.02.08.575577,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A state-of-the-art protein-ligand binding affinity predictor leveraging transfer learning from pre-trained transformers to predict binding affinities with high accuracy.,14.0,09/2024,0 months ago,,1.0,material/speedometer
ProSmith,https://github.com/AlexanderKroll/ProSmith,https://doi.org/10.5281/zenodo.10986299).,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A multimodal transformer network for protein-small molecule interactions.,19.0,04/2024,4 months ago,,0.0,material/speedometer
ProtMD,https://github.com/smiles724/ProtMD,https://doi.org/10.1002/advs.202203796,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Pre-training Protein Geometric Models via Molecular Dynamics Trajectories,59.0,12/2022,20 months ago,,13.0,material/speedometer
QDL-DTA,https://github.com/LinaDongXMU/QDL-DTA,https://doi.org/10.1002/qute.202300107.,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A hybrid quantum-classical deep learning algorithm for protein-ligand binding affinity prediction.,2.0,07/2023,13 months ago,,0.0,material/speedometer
RoseNet,https://github.com/DS3Lab/RosENet/tree/master,https://doi.org/10.5281/zenodo.4625486,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Predicts absolute binding affinity using molecular mechanics energies.,35.0,03/2021,42 months ago,,0.0,material/speedometer
RTMScore,https://github.com/sc8668/RTMScore,https://doi.org/10.1021/acs.jmedchem.2c00991,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A novel scoring function based on residue-atom distance likelihood potential and graph transformer for predicting protein-ligand interactions efficiently.,83.0,04/2023,17 months ago,,69.0,material/speedometer
SadNet,https://github.com/wardhong/SadNet,https://doi.org/10.1039/D3CP05664C,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,,2.0,07/2024,2 months ago,,0.0,material/speedometer
SCORCH,https://github.com/SMVDGroup/SCORCH,https://doi.org/10.1111/cbdd.13764,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Houses deployable code for the SCORCH scoring function and docking pipeline.,16.0,07/2022,25 months ago,,15.0,material/speedometer
SIEVE-Score,https://github.com/sekijima-lab/SIEVE-Score,https://doi.org/10.1021/acs.jcim.8b00673,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A virtual screening method based on random forest using interaction energy-based scoring.,14.0,09/2023,12 months ago,,93.0,material/speedometer
SMPLIP-Score,https://github.com/college-of-pharmacy-gachon-university/SMPLIP-Score,https://doi.org/10.1186/s13321-021-00507-1,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,"Substructural Molecular and Protein–Ligand Interaction Pattern Score, a direct interpretable predictor of absolute binding affinity.",5.0,06/2021,39 months ago,,28.0,material/speedometer
SSnet,https://github.com/ekraka/SSnet,https://doi.org/10.3390/ijms22031392,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Secondary Structure based End-to-End Learning model for Protein-Ligand Interaction Prediction,19.0,11/2021,34 months ago,,33.0,material/speedometer
StackCPA,https://github.com/CSUBioGroup/StackCPA,https://doi.org/10.1016/j.compbiomed.2023.107131,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A stacking model for compound-protein binding affinity prediction based on pocket multi-scale features (scoring - 2023) (standalone).,2.0,04/2023,17 months ago,,3.0,material/speedometer
TankBind,https://github.com/luwei0917/TankBind,https://doi.org/10.1101/2022.06.06.495043,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Trigonometry-Aware Neural NetworKs for Drug-Protein Binding Structure Prediction,148.0,11/2023,10 months ago,,49.0,material/speedometer
TB-IEC-Score,https://github.com/schrojunzhang/TB-IEC-Score,https://doi.org/10.1186/s13321-023-00731-x,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,Meta-modeling of ligand-protein binding affinity.,6.0,06/2023,15 months ago,,7.0,material/speedometer
TrustAffinity,,https://doi.org/10.1101/2024.01.05.574359,,https://www.biorxiv.org/content/10.1101/2024.01.05.574359v1.full,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,"A sequence-based deep learning framework addressing challenges in protein-ligand binding affinity prediction including out-of-distribution generalizations, uncertainty quantification, and scalability.",,,,,0.0,material/speedometer
XLPFE,https://github.com/LinaDongXMU/XLPFE,https://doi.org/10.1021/acsomega.2c01723.,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,a Simple and Effective Machine Learning Scoring Function for Protein-ligand Scoring and Ranking (standalone).,5.0,06/2023,14 months ago,,0.0,material/speedometer
XLPFE,https://github.com/LinaDongXMU/XLPFE,https://doi.org/10.1021/acsomega.2c01723.,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,A machine learning scoring function for protein-ligand scoring and ranking.,5.0,06/2023,14 months ago,,0.0,material/speedometer
FitScore,,https://doi.org/10.21203/rs.3.rs-4523265/v1,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,,,,,,0.0,material/speedometer
HydraScreen,https://github.com/Ro5-ai/hydrascreen,https://doi.org/10.1021/acs.jcim.4c00481,https://hydrascreen.ro5.ai/paper,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,utilizes a state-of-the-art 3D convolutional neural network designed for the effective representation of molecular structures and interactions in protein–ligand binding,6.0,06/2024,2 months ago,,0.0,material/speedometer
Milbinding,https://github.com/guidotiana/Milbinding,https://doi.org/10.1021/acs.jcim.4c00752,,,Structure-based Virtual Screening,Scoring Functions,Machine-learning scoring functions,,binary binding prediction,0.0,09/2024,0 months ago,,0.0,material/speedometer
MetalProGNet,https://github.com/zjujdj/MetalProGNet,https://doi.org/10.1039%2Fd2sc06576b,,,Structure-based Virtual Screening,Scoring Functions,Metalloproteins Specific,,"MetalProGNet is a structure-based deep graph model specifically designed for metalloprotein-ligand interaction predictions, developed based on the IGN framework.",12.0,07/2024,2 months ago,,6.0,material/speedometer
PANTHER,,https://doi.org/10.1007/s10822-015-9870-3,,https://www.medchem.fi/panther/,Structure-based Virtual Screening,Scoring Functions,Negative Image based,,Negative Image based docking and scoring,,,,,33.0,material/speedometer
O-LAP,https://github.com/jvlehtonen/overlap-toolkit,https://doi.org/10.1186/s13321-024-00857-6,,,Structure-based Virtual Screening,Scoring Functions,Negative Image based,,,3.0,08/2024,0 months ago,,0.0,material/speedometer
ECIFGraph,https://github.com/xiaoyangqu/ECIFGraph,https://doi.org/10.1021/acs.jcim.3c00567,,,Structure-based Virtual Screening,Scoring Functions,Protein-ligand interaction fingerprints,,"Introduces a water network-augmented two-state model for protein-ligand binding affinity prediction, incorporating extended connectivity interaction features and graph transformer operators.",9.0,06/2023,15 months ago,,3.0,material/speedometer
SQM2.20,,https://doi.org/10.1038/s41467-024-45431-8,,https://chemrxiv.org/engage/chemrxiv/article-details/64afd3aeae3d1a7b0d9ac7c0,Structure-based Virtual Screening,Scoring Functions,Quantum-mechanical,,Semiempirical quantum-mechanical scoring function yields DFT-quality protein–ligand binding affinity predictions in minutes,,,,,6.0,material/speedometer
RLAffinity,https://github.com/SaisaiSun/RLaffinity,https://doi.org/10.1093/bioinformatics/btae155,,,Structure-based Virtual Screening,Scoring Functions,RNA-specific,,,3.0,05/2024,3 months ago,,2.0,material/speedometer
SPRank,https://github.com/Vfold-RNA/SPRank,https://doi.org/10.1021/acs.jctc.4c00681,,,Structure-based Virtual Screening,Scoring Functions,RNA-specific,,Knowledge-Based Scoring Function for RNA-Ligand Pose Prediction and Virtual Screening,1.0,08/2024,0 months ago,,0.0,material/speedometer
PBCNet,,,https://pbcnet.alphama.com.cn/index,,Structure-based Virtual Screening,Scoring Functions,Relative Binding Affinity,,Webserver for relative binding affinity calculation.,,,,,,material/speedometer
SANDRES2.0,https://github.com/azevedolab/sandres,https://doi.org/10.1002/jcc.27449,,,Structure-based Virtual Screening,Scoring Functions,SF Optimisation,,Statistical Analysis of Docking Results and Scoring functions,16.0,06/2024,2 months ago,,0.0,material/speedometer
SANDRES,,,,https://azevedolab.net/sandres.php,Structure-based Virtual Screening,Scoring Functions,SF Optimisation,,Statistical Analysis of Docking Results and Scoring functions,,,,,,material/speedometer
SFSXplorer,https://github.com/azevedolab/SFSXplorer,,,https://azevedolab.net/sfsxplorer.php,Structure-based Virtual Screening,Scoring Functions,SF Optimisation,,Computational tool to explore the scoring function space (standalone).,3.0,01/2024,7 months ago,,,material/speedometer
CIME4R,https://github.com/jku-vds-lab/reaction-cime,https://doi.org/10.1186/s13321-024-00840-1,,https://reaction-optimization.jku-vds-lab.at/,Synthesis,Reaction Optimization,,,AI-guided chemical reaction optimization,5.0,06/2024,2 months ago,,0.0,fontawesome/solid/flask
AiZynthFinder,https://github.com/MolecularAI/aizynthfinder,https://doi.org/10.26434/chemrxiv.12465371.v1,,,Synthesis,Retrosynthesis Prediction,,,package for retrosynthesis planning.,573.0,06/2024,3 months ago,,0.0,material/timeline-question
UAlign,https://github.com/zengkaipeng/UAlign,https://doi.org/10.48550/arXiv.2404.00044,,,Synthesis,Retrosynthesis Prediction,,,,6.0,07/2024,1 months ago,,0.0,material/timeline-question
https://github.com/gmum/RetroGFN,,https://doi.org/10.48550/arXiv.2406.18739,,,Synthesis,Retrosynthesis Prediction,,,,,,,,0.0,material/timeline-question
SPARROW,https://github.com/coleygroup/sparrow,https://doi.org/10.48550/arXiv.2311.02187,,,Synthesis,Retrosynthesis Prediction,,,synthetic cost-aware decision making in molecular design,32.0,07/2024,2 months ago,,0.0,material/timeline-question
BatGPT-Chem,,https://doi.org/10.48550/arXiv.2408.10285,,https://www.batgpt.net/dapp/chem,Synthesis,Retrosynthesis Prediction,,,A Foundation Large Model For Retrosynthesis Prediction,,,,,0.0,material/timeline-question
SynAsk,,https://doi.org/10.48550/arXiv.2406.04593,http://synask.aichemeco.com,,Synthesis,Retrosynthesis Prediction,LLM,,a comprehensive organic chemistry domain-specific LLM platform,,,,,0.0,material/timeline-question
DFRscore,https://github.com/Hwoo-Kim/DFRscore,https://doi.org/10.1021/acs.jcim.3c01134,,,Synthesis,Synthetic Accessibility Score,,,"Introduces a deep learning-based scoring system for synthetic complexity, utilizing retrosynthetic analysis to evaluate the synthesizability of compounds for virtual screening purposes.",8.0,05/2024,3 months ago,,5.0,material/speedometer
Emin,https://github.com/andrewlee1030/Emin-A-First-Principles-Thermochemical-Descriptor-for-Predicting-Molecular-Synthesizability,https://doi.org/10.1021/acs.jcim.3c01583,,,Synthesis,Synthetic Accessibility Score,,,,0.0,09/2023,11 months ago,,0.0,material/speedometer
RAScore,https://github.com/reymond-group/RAscore,https://doi.org/10.1039/d0sc05401a,,,Synthesis,Synthetic Accessibility Score,,,rapid machine learned synthesizability classification from AI driven retrosynthetic planning.,78.0,08/2021,37 months ago,,74.0,material/speedometer
SAScore,https://github.com/rdkit/rdkit/tree/master/Contrib/SA_Score,https://doi.org/10.1186/1758-2946-1-8,,,Synthesis,Synthetic Accessibility Score,,,The Synthetic Accessibility Score (SAScore) aims to assess the synthetic difficulty of chemical compounds.,2586.0,09/2024,0 months ago,,866.0,material/speedometer
SCscore,https://github.com/connorcoley/scscore,,,,Synthesis,Synthetic Accessibility Score,,,"SCScore is a synthetic complexity score that assigns a value between 1 and 5 to a molecule, based on the premise that published reactions should exhibit an increase in synthetic complexity.",93.0,02/2018,80 months ago,,,material/speedometer
SYBA,https://github.com/lich-uct/syba,https://doi.org/10.1186/s13321-017-0206-2,,,Synthesis,Synthetic Accessibility Score,,,SYnthetic BAyesian classifier (SYBA) is a Python package for the classification of organic compounds as easy-to-synthesize (ES) or hard-to-synthesize (ES).,40.0,01/2021,44 months ago,,15.0,material/speedometer
Kataria et al.,,https://doi.org/10.1039/D4MD00223G,,,Target Identification,Reviews,,,Systematic computational strategies for identifying protein targets and lead discovery,,,,,0.0,material/message-draw
DrugnomeAI,,https://doi.org/10.1038/s42003-022-04245-4,http://drugnomeai.public.cgr.astrazeneca.com/,,Target Identification,Target identification,Druggability Prediction,,,,,,,10.0,material/target
PT-Finder,https://github.com/PT-Finder/PT-Finder,https://doi.org/10.1016/j.compbiomed.2024.108444,,,Target Identification,Target identification,Target prediction models,,,0.0,04/2024,4 months ago,,1.0,material/target
RingTail,https://github.com/forlilab/Ringtail#getting-started,https://doi.org/10.1021/acs.jcim.3c00166,,,VS Workflows,Database,,,"RingTail is a package for storage and analysis of virtual screenings run with AutoDock-GPU and AutoDock Vina, facilitating the creation of SQLite databases from virtual screening results, performing filtering, and exporting results.",36.0,09/2024,0 months ago,,0.0,material/database
ACFIS 2.0,,https://doi.org/10.1093%2Fnar%2Fgkad348,,http://chemyang.ccnu.edu.cn/ccb/server/ACFIS2/,VS Workflows,Fragment-based,,,an improved web-server for fragment-based drug discovery via a dynamic screening strategy (online).,,,,,5.0,material/sitemap-outline
ChemFlow,https://github.com/IFMlab/ChemFlow,https://doi.org/10.1021/acs.jcim.2c00919,,,VS Workflows,Full Workflows,,,"ChemFlow provides a series of computational chemistry workflows designed to automatize and simplify the drug discovery pipeline and scoring function benchmarking, consisting of BASH and PYTHON scripts.",52.0,07/2022,26 months ago,,6.0,fontawesome/solid/vr-cardboard
ConveyorLC,https://github.com/XiaohuaZhangLLNL/conveyorlc,,,,VS Workflows,Full Workflows,,,A Parallel Virtual Screening Pipeline for Docking and MM/GSBA (standalone).,10.0,10/2023,11 months ago,,,fontawesome/solid/vr-cardboard
DataPype,,https://doi.org/10.1021/acsomega.3c05207,,,VS Workflows,Full Workflows,,,,,,,,2.0,fontawesome/solid/vr-cardboard
DeepScreen,https://github.com/cansyl/DEEPScreen,https://doi.org/10.1039/C9SC03414E).,,,VS Workflows,Full Workflows,,,"DEEPScreen utilizes deep convolutional neural networks for drug-target interaction prediction, employing compound images for virtual screening and offering high-performance interaction prediction capabilities.",108.0,04/2024,4 months ago,,0.0,fontawesome/solid/vr-cardboard
Dockey,https://github.com/lmdu/dockey,https://doi.org/10.1093/bib/bbad047,,,VS Workflows,Full Workflows,,,"Dockey is an integrated tool for molecular docking and virtual screening, providing a graphical user interface that simplifies the docking pipeline, including molecular preparation and interaction detection.",48.0,07/2024,2 months ago,,17.0,fontawesome/solid/vr-cardboard
Docking Python,https://github.com/samuelmurail/docking_py,https://doi.org/10.5281/zenodo.4506970.svg,,,VS Workflows,Full Workflows,,,"Docking_py is a Python library that simplifies the use of Smina, vina, qvina2, and qvinaw docking software, making docking tasks more scriptable and automated.",51.0,11/2021,33 months ago,,0.0,fontawesome/solid/vr-cardboard
DockStream,https://github.com/MolecularAI/DockStream,https://doi.org/10.1186/s13321-021-00563-7,,,VS Workflows,Full Workflows,,,"DockStream is a docking wrapper offering access to various ligand embedders and docking backends, aimed at enhancing de novo molecular design through integration with the REINVENT platform.",104.0,03/2023,18 months ago,,30.0,fontawesome/solid/vr-cardboard
Dockstring,https://github.com/dockstring/dockstring,https://doi.org/10.1021/acs.jcim.1c01334,,,VS Workflows,Full Workflows,,,A Python package for easy molecular docking (with Vina)… machine learning..(standalone).,151.0,08/2024,1 months ago,,36.0,fontawesome/solid/vr-cardboard
DrugSniffer,,https://doi.org/10.3389%2Ffphar.2022.874746,,https://drugsniffer.org/,VS Workflows,Full Workflows,,,"Drug Sniffer is a virtual screening pipeline capable of screening billions of molecules using a combination of ligand-based and structure-based methods, designed to streamline and accelerate the drug discovery process.",,,,,9.0,fontawesome/solid/vr-cardboard
EasyDock,https://github.com/ci-lab-cz/easydock/tree/master,https://doi.org/10.1186/s13321-023-00772-2,,,VS Workflows,Full Workflows,,,"EasyDock is a fully automatic pipeline for molecular docking, featuring a simple setup for using vina and gnina/smina for docking operations, intended to streamline the docking process.",35.0,06/2024,2 months ago,,2.0,fontawesome/solid/vr-cardboard
